instance	top_proxy_hosts
art-work-of-charleston	pure.md:27,jqp.vercel.app:22,markdown.new:21,www.proxymule.com:18,corsmirror.com:16,cors.bwa.workers.dev:6,allorigins.hexlet.app:4,docs.google.com:3,cors-get-proxy.sirjosh.workers.dev:1,md.succ.ai:1
patriots-point-jan-1951	cors.bwa.workers.dev:27,corsmirror.com:22,markdown.new:19,api.ocr.space:17,pure.md:15,jqp.vercel.app:9,www.proxymule.com:6,allorigins.hexlet.app:5,md.succ.ai:4,api.codetabs.com:1
texas-tsl-preservica	cors.bwa.workers.dev:107,docs.google.com:23,corsmirror.com:23,allorigins.hexlet.app:20,markdown.new:8,r.jina.ai:7,jqp.vercel.app:5,pure.md:5,corsproxy.io:5,md.succ.ai:3
clark-economics-newsletters	markdown.new:38,pure.md:36,jqp.vercel.app:28,allorigins.hexlet.app:18,corsmirror.com:14,vercel-cors-proxy.vercel.app:4,r.jina.ai:4,cors-bypasser-pro.vercel.app:2,docs.google.com:2,cors.bwa.workers.dev:2
minnesota-mhs-p16022coll45-152	markdown.new:14,www.proxymule.com:11,cors.bwa.workers.dev:9,allorigins.hexlet.app:9,corsmirror.com:8,pure.md:6,md.succ.ai:3
cgsc-hoffman-order-of-battle	
rugby-world-march-1995	cors.bwa.workers.dev:4,allorigins.hexlet.app:3
