instance	revisions	pages	labels	ip16s	first_time	last_time	days_with_activity
art-work-of-charleston	124	99	66	61	2026-05-28T07:51:18Z	2026-06-18T19:58:11Z	5
patriots-point-jan-1951	73	20	51	43	2026-06-11T13:05:33Z	2026-06-18T21:08:49Z	3
texas-tsl-preservica	123	47	60	63	2026-06-11T02:28:54Z	2026-06-18T21:12:57Z	4
clark-economics-newsletters	83	68	53	49	2026-06-01T12:45:17Z	2026-06-22T02:43:12Z	3
minnesota-mhs-p16022coll45-152	34	19	24	28	2026-05-30T17:31:34Z	2026-06-01T15:00:48Z	3
cgsc-hoffman-order-of-battle	4	3	4	4	2026-06-11T09:12:45Z	2026-06-18T18:34:18Z	2
rugby-world-march-1995	4	2	1	4	2026-06-06T07:20:37Z	2026-06-06T08:02:07Z	1
